,BBCA,BBRI,BMRI,BYAN,TPIA,TLKM,BBNI,ASII,ICBP,BRIS,AMRT,UNVR,HMSP,DSSA,SMMA,UNTR,ISAT,BRPT
2020-02-03,32200,4460,7500,15200,8750,3740,7125,6275,11400,306,815,7850,2060,12775,15225,19075,2170,1275
2020-02-04,33000,4560,7525,15200,8750,3760,7350,6400,11600,310,810,7875,2070,12775,15225,18775,2190,1270
2020-02-05,33650,4560,7700,15200,8725,3770,7425,6400,11500,312,810,8100,2040,13875,15225,18750,2400,1280
2020-02-06,33700,4550,7700,15200,8725,3760,7350,6500,11500,316,805,7950,2060,13725,15225,18700,2370,1240
2020-02-07,33800,4550,7725,15200,8800,3790,7350,6400,11500,324,800,7900,2030,13600,15225,18800,2370,1265
2020-02-10,33925,4500,7725,15200,8825,3810,7325,6200,11575,316,800,7875,1995,15500,15225,18275,2260,1245
2020-02-11,33900,4510,7775,15200,8925,3790,7300,6100,11475,316,805,7850,1990,15500,15225,18025,2190,1250
2020-02-12,34000,4530,7800,15200,9025,3820,7275,5975,10750,312,800,7600,1990,15500,15225,17700,2170,1255
2020-02-13,33950,4570,7850,15200,9025,3730,7400,5950,10800,306,805,7400,1980,15500,15225,17625,1980,1225
2020-02-14,33400,4550,7825,15200,8975,3640,7525,6100,10775,302,810,7475,1970,15500,15225,18325,2100,1200
2020-02-17,33600,4470,7850,15200,8850,3610,7625,6100,10850,304,805,7400,1965,15500,15225,18350,2050,1180
2020-02-18,33475,4400,7825,15200,8975,3620,7700,6100,10850,304,785,7400,1960,15500,15225,18350,2170,1220
2020-02-19,33475,4480,7950,15200,9075,3620,7775,6250,11000,304,810,7475,1955,17875,15225,18475,2300,1235
2020-02-20,32975,4560,8000,15200,9050,3630,7925,6275,11225,304,850,7650,1945,17875,15225,18425,2300,1220
2020-02-21,33075,4510,7900,15200,9050,3690,7775,6200,10950,300,800,7500,1920,17875,14850,18225,2200,1160
2020-02-24,32625,4490,7775,15200,9500,3640,7575,6100,11025,288,820,7225,1905,17875,14500,17900,2170,1110
2020-02-25,32650,4500,7800,15200,8600,3590,7500,6225,10975,278,805,7300,1860,17875,14500,18275,2230,1095
2020-02-26,32100,4480,7650,15200,8100,3510,7300,6050,10825,264,800,7300,1785,17875,14500,18000,2150,1035
2020-02-27,31450,4130,7350,15200,7825,3470,7075,5950,10550,252,800,7150,1730,17875,14500,17575,2050,980
2020-02-28,31450,4190,7275,15200,8000,3490,7025,5525,10275,220,775,6825,1700,17875,13500,16600,2040,985
2020-03-02,30400,3980,6950,15200,7900,3440,6750,5700,10150,206,795,6900,1675,17875,13500,16675,2090,945
2020-03-03,31600,4100,7200,15200,7775,3620,6800,5900,10950,200,810,7125,1750,17875,13500,17650,2160,965
2020-03-04,32200,4220,7475,15200,7800,3830,6950,5975,10950,204,780,7425,1785,17875,13500,18500,2260,1020
2020-03-05,32175,4150,7600,15200,7700,3830,6825,6050,10950,254,790,7400,1785,17875,13500,18025,2240,1015
2020-03-06,31000,4010,7250,15200,7700,3750,6400,5675,10950,250,775,7450,1715,17875,13500,17300,2160,970
2020-03-09,28925,3750,6575,15200,7500,3500,5650,5025,10375,214,775,7025,1555,17875,13500,15800,2000,845
2020-03-10,29625,3910,6875,15200,7700,3490,5675,5150,10775,250,765,7100,1600,17875,13500,16525,2060,825
2020-03-11,29250,3910,6825,15200,7675,3400,5525,5125,10950,236,755,7300,1630,17875,13500,16300,1895,785
2020-03-12,27800,3610,6425,15200,6975,3310,5025,4910,10525,214,750,7225,1550,17875,13500,15200,1715,700
2020-03-13,28300,3720,6350,15200,6500,3390,5200,4870,10975,212,715,7500,1510,17875,13500,15600,1695,655
2020-03-16,27525,3500,5925,15200,6500,3160,4840,4590,10400,198,715,6975,1405,17875,13500,14525,1580,610
2020-03-17,25600,3260,5525,15200,6050,2940,4510,4270,9750,185,715,6500,1310,17875,13500,13525,1470,570
2020-03-18,25000,3140,5150,15200,6250,2810,4200,4150,9325,173,715,6050,1240,17875,13500,13400,1370,535
2020-03-19,23250,2930,4790,15200,5825,2620,3910,3860,8850,161,700,5650,1155,19750,13500,12600,1275,498
2020-03-20,23675,2810,4460,15200,6350,2880,3640,3780,8975,155,700,6225,1345,19750,13500,14850,1375,525
2020-03-23,22150,2620,4150,15200,5925,2680,3390,3520,8350,145,660,5800,1255,19750,13500,13825,1280,490
2020-03-24,22500,2440,3860,15200,5950,2620,3160,3280,8300,135,625,5675,1290,19750,13500,13975,1200,456
2020-03-25,22500,2440,3860,15200,5950,2620,3160,3280,8300,135,625,5675,1290,19750,13500,13975,1200,456
2020-03-26,22500,2440,3860,15200,5950,2620,3160,3280,8300,135,625,5675,1290,19750,13500,13975,1200,456
2020-03-27,27550,3230,4940,15200,5600,3090,3990,4080,9975,198,715,6800,1445,19750,13500,15500,1400,620
2020-03-30,27475,3010,4600,15200,5400,3140,3720,3800,9650,188,700,6425,1390,19750,13500,14425,1425,600
2020-03-31,27625,3020,4680,14500,5250,3160,3820,3900,10225,196,800,7250,1425,19750,13500,16900,1555,725
2020-04-01,27400,2930,4610,14500,5250,3100,3680,3770,10150,185,755,7150,1415,19750,12800,16625,1550,745
2020-04-02,27050,2870,4750,14500,5725,3130,3850,3930,10200,189,795,7225,1535,19750,12800,16900,1735,830
2020-04-03,27475,2890,5025,14500,6850,3200,4010,3900,10000,193,795,7100,1605,19750,12800,17150,1945,1000
2020-04-06,28675,3020,5200,14500,7300,3330,4290,4030,10250,204,795,7300,1780,19750,12800,18000,2180,1000
2020-04-07,28275,3030,5125,14500,7225,3220,4310,4060,10075,202,810,7275,1705,19750,12800,17600,2060,985
2020-04-08,28175,2820,4770,14500,7275,3110,4010,3850,9600,191,810,7125,1605,19750,12800,17500,1920,925
2020-04-09,27975,2790,4670,14500,7375,3120,3990,4090,10100,193,825,7250,1660,19750,12800,17125,1955,945
2020-04-10,27975,2790,4670,14500,7375,3120,3990,4090,10100,193,825,7250,1660,19750,12800,17125,1955,945
2020-04-13,27500,2770,4470,14500,7450,3180,3990,3960,10200,200,830,7100,1645,19750,12800,17550,1990,905
2020-04-14,27575,2900,4570,14500,7550,3240,4150,3960,10350,202,830,7150,1690,19750,12800,18250,2070,985
2020-04-15,27425,2760,4400,14500,7600,3110,4200,3820,10175,197,840,6975,1610,19750,12800,17725,1985,995
2020-04-16,26200,2610,4210,14500,7700,3000,3980,3620,9900,194,830,6650,1560,21250,12800,16625,1880,970
2020-04-17,27125,2830,4380,14500,7900,3230,4160,3800,10200,202,850,6875,1635,21250,12500,17325,2040,990
2020-04-20,26775,2780,4370,14500,7825,3120,4100,3720,10075,196,850,7000,1590,21250,12500,17300,1965,965
2020-04-21,25800,2720,4350,14500,7875,3070,4030,3640,9975,192,850,6925,1570,21250,12500,16400,1905,1015
2020-04-22,25725,2790,4490,14500,8500,3160,4020,3640,10025,195,870,7100,1575,21250,12500,16250,2110,1210
2020-04-23,25600,2800,4500,14500,8600,3070,4020,3760,10150,194,860,7500,1560,21250,12500,16200,2030,1280
2020-04-24,24600,2630,4280,14500,8650,3090,3800,3630,9900,189,830,7500,1520,21250,12500,16225,2000,1240
2020-04-27,24800,2660,4150,14500,8625,3150,3800,3710,9925,194,840,7500,1535,21250,12500,16400,2070,1215
2020-04-28,24150,2590,4150,14500,8825,3160,3820,3740,10025,190,845,7850,1515,21250,12500,15550,2040,1350
2020-04-29,24250,2580,4000,14500,8875,3350,3760,3690,10000,191,790,8000,1570,21250,12500,15600,2250,1435
2020-04-30,25850,2730,4460,14500,8975,3500,4100,3850,9875,196,870,8275,1595,21250,12500,16300,2150,1450
2020-05-01,25850,2730,4460,14500,8975,3500,4100,3850,9875,196,870,8275,1595,21250,12500,16300,2150,1450
2020-05-04,26100,2630,4290,14500,8625,3320,3920,3610,9700,202,870,7925,1520,21250,12500,15525,2150,1385
2020-05-05,26425,2630,4220,14500,8500,3320,3840,3610,9750,252,880,8300,1560,21250,12200,15200,2150,1380
2020-05-06,26775,2620,4160,14500,8150,3240,3830,3640,9675,256,880,8100,1635,21250,11800,15300,2100,1285
2020-05-07,26775,2620,4160,14500,8150,3240,3830,3640,9675,256,880,8100,1635,21250,11800,15300,2100,1285
2020-05-08,26225,2590,4200,14500,8000,3190,3800,3740,9625,248,850,8050,1640,21250,11600,15825,2050,1210
2020-05-11,26475,2620,4230,14500,7450,3220,3800,3920,9750,248,845,8075,1660,21250,11600,15725,2110,1220
2020-05-12,26100,2490,4010,14500,7275,3150,3660,3820,9750,232,840,8175,1690,21250,11600,15500,2000,1260
2020-05-13,25550,2470,4010,14500,7000,3160,3720,3730,9650,280,800,8250,1715,21250,11600,15275,1995,1175
2020-05-14,24600,2350,3950,14500,6700,3070,3540,3570,9725,262,895,8300,1790,21250,11600,15000,1950,1150
2020-05-15,23925,2240,3760,14500,6550,3100,3340,3710,9700,252,900,8575,1855,21250,11600,14250,2020,1225
2020-05-18,23825,2170,3720,14500,6350,3220,3330,3910,9725,272,890,8475,1865,21250,11600,14150,2030,1170
2020-05-19,23400,2370,3860,14500,6550,3270,3520,3950,9900,288,910,8250,1835,21250,12200,14500,2000,1170
2020-05-20,23825,2480,4070,14500,6925,3180,3600,3970,9600,288,910,8050,1770,20975,12200,14600,1975,1225
2020-05-21,23825,2480,4070,14500,6925,3180,3600,3970,9600,288,910,8050,1770,20975,12200,14600,1975,1225
2020-05-22,23825,2480,4070,14500,6925,3180,3600,3970,9600,288,910,8050,1770,20975,12200,14600,1975,1225
2020-05-25,23825,2480,4070,14500,6925,3180,3600,3970,9600,288,910,8050,1770,20975,12200,14600,1975,1225
2020-05-26,24850,2520,4100,14500,7150,3250,3630,4330,8950,290,920,8150,1910,20975,12250,15075,2110,1265
2020-05-27,24825,2630,4110,14500,7125,3170,3630,4350,8325,308,915,8200,1940,20975,12250,14950,2110,1270
2020-05-28,26475,2730,4290,14500,7300,3130,3660,4540,8325,302,910,8025,1925,20975,12250,15100,2050,1275
2020-05-29,25950,2950,4470,14450,7325,3150,3830,4770,8150,300,910,7750,1940,19525,12250,15700,2020,1350
2020-06-01,25950,2950,4470,14450,7325,3150,3830,4770,8150,300,910,7750,1940,19525,12250,15700,2020,1350
2020-06-02,26800,3180,4620,14450,7400,3250,3970,4730,8475,320,900,8100,1845,19525,12250,16375,2070,1340
2020-06-03,28900,3100,4860,14450,7300,3290,4130,4890,8500,320,890,8225,1850,19525,12250,17075,2060,1340
2020-06-04,28950,3060,4730,13450,7325,3300,4140,4760,8500,314,890,8175,1795,19525,12250,17000,2090,1325
2020-06-05,28625,3110,4850,13450,7175,3230,4250,5000,8625,320,880,8050,1795,19525,13000,17100,2240,1315
2020-06-08,29500,3300,5250,13450,6950,3230,4830,5025,8775,328,865,8200,1825,19525,13000,17550,2210,1315
2020-06-09,29025,3210,5275,13450,7075,3140,4860,5000,8900,314,835,8300,1805,19525,14000,17775,2140,1225
2020-06-10,29000,3030,4910,13450,6950,3110,4520,4850,8650,302,840,8200,1750,19150,14000,17225,2230,1200
2020-06-11,28400,2970,4690,13450,7000,3080,4210,4700,8600,294,830,8200,1685,18950,14000,16450,2230,1225
2020-06-12,28350,3030,4890,13450,6725,3030,4470,4790,8600,312,835,8200,1740,21975,15000,16450,2260,1195
2020-06-15,27500,2900,4720,13450,6600,3090,4200,4740,8700,302,800,8275,1690,21975,15200,16125,2250,1205
2020-06-16,28800,3130,5025,13450,6900,3200,4610,4970,8875,318,785,8275,1765,21975,15700,16950,2380,1225
2020-06-17,28600,3100,4900,13450,6850,3210,4550,4970,8950,318,790,8275,1765,21875,16150,17700,2350,1210
2020-06-18,27925,3050,4820,13450,6775,3280,4500,4800,8750,316,790,8050,1750,21875,16150,17650,2500,1130
2020-06-19,27875,3100,4880,13450,6800,3280,4480,4890,8925,316,790,8050,1730,21875,16150,17850,2530,1160
2020-06-22,27700,3060,4810,12525,6850,3200,4470,4890,9100,308,790,8050,1725,20675,16150,16900,2500,1225
2020-06-23,28100,3010,4790,12600,6750,3130,4380,4900,8925,306,785,8000,1690,19250,15050,16575,2400,1185
2020-06-24,28525,3120,5150,12600,6650,3180,4740,5000,9075,314,795,8075,1710,18950,16500,16725,2380,1190
2020-06-25,28625,3060,5025,12550,6550,3160,4550,4900,8975,310,795,7900,1670,20175,15350,16475,2320,1165
2020-06-26,28225,3030,5000,12550,6475,3190,4580,4900,9225,308,785,7900,1660,20175,17500,16475,2440,1150
2020-06-29,28375,3040,4940,12525,6450,3180,4590,4800,9400,306,790,7925,1655,20175,17600,16700,2380,1170
2020-06-30,28475,3030,4950,12525,6575,3050,4580,4800,9350,308,795,7900,1645,19425,18300,16550,2350,1160
2020-07-01,29000,3060,4990,12475,6575,3040,4540,4810,9200,306,795,7800,1625,19400,18400,17000,2320,1150
2020-07-02,29350,3060,5000,12475,6825,3140,4590,4870,9550,306,795,8050,1630,19500,17700,17150,2320,1150
2020-07-03,29350,3050,5000,14000,6875,3120,4560,4850,9425,318,790,7900,1685,22400,16475,17150,2400,1180
2020-07-06,29675,3040,5075,13900,6725,3050,4610,4840,9425,396,795,7900,1670,22400,15325,17225,2500,1170
2020-07-07,29950,3030,5050,13900,6775,3120,4600,4830,9500,452,790,7925,1640,22275,15300,17325,2560,1160
2020-07-08,31000,3190,5275,12950,6750,3150,4800,4910,9450,440,790,8100,1660,22275,17200,18450,2570,1190
2020-07-09,30500,3140,5250,12400,6625,3110,4730,4900,9350,438,785,7975,1665,21875,18000,18450,2570,1225
2020-07-10,31000,3110,5175,12875,6650,3110,4670,4830,9225,474,780,7925,1650,21250,17500,17925,2560,1220
2020-07-13,30875,3160,5250,12800,6725,3090,4750,4900,9250,482,775,8025,1680,21250,17500,18500,2570,1240
2020-07-14,31000,3170,5300,12700,6875,3080,4720,4950,9450,490,775,8075,1710,21250,17350,18325,2550,1280
2020-07-15,30750,3130,5275,11825,7025,3090,4710,5150,9450,490,760,8050,1705,21250,17800,18250,2550,1250
2020-07-16,30900,3140,5275,11800,7050,3100,4700,5250,9575,492,750,8100,1850,21250,16575,18325,2520,1250
2020-07-17,30600,3100,5175,12600,7100,3060,4670,5200,9275,488,745,8125,1840,20875,16250,18450,2560,1255
2020-07-20,30700,3050,5100,12600,7100,3060,4540,5100,9325,474,755,8125,1835,20875,16250,18400,2570,1250
2020-07-21,31000,3150,5300,13500,7175,3060,4680,5375,9325,484,750,8000,1825,20875,16250,19325,2560,1210
2020-07-22,30900,3100,5425,13500,7200,3070,4670,5300,9375,480,750,8000,1780,20875,16250,20000,2550,1180
2020-07-23,31000,3140,5700,13475,7250,3070,4710,5175,9400,494,750,8050,1760,20875,16300,20075,2540,1185
2020-07-24,30500,3090,5600,13600,7450,3020,4610,5050,9175,484,745,8050,1685,20875,16300,19450,2510,1175
2020-07-27,30500,3150,5875,12775,6950,3040,4650,5125,9000,480,750,8075,1700,20875,16900,21000,2560,1095
2020-07-28,30925,3140,5850,12800,6800,3020,4680,5175,9050,590,750,8150,1685,20875,16925,21600,2510,1020
2020-07-29,30675,3120,5700,13075,7100,3000,4590,5075,9125,550,745,8250,1725,20875,16900,21500,2340,950
2020-07-30,31200,3160,5800,13225,7325,3050,4600,5150,9200,540,740,8400,1705,20875,17200,21350,2300,950
2020-07-31,31200,3160,5800,13225,7325,3050,4600,5150,9200,540,740,8400,1705,20875,17200,21350,2300,950
2020-08-03,30650,2990,5500,13200,7375,2920,4440,4880,9300,515,720,8250,1615,20875,16975,20450,2170,895
2020-08-04,31050,3080,5575,13500,7375,2950,4560,4960,10025,535,745,8225,1640,20875,16975,20450,2320,890
2020-08-05,31025,3080,5700,14000,7325,3020,4630,5050,10550,550,755,8250,1630,20875,16950,21525,2360,900
2020-08-06,31300,3110,5775,14000,7375,3020,4640,5225,10325,555,730,8175,1675,20875,16950,23775,2400,920
2020-08-07,30900,3110,5800,13200,7350,2980,4620,5275,10175,550,735,8125,1655,20500,16550,24700,2390,885
2020-08-10,30600,3130,5800,13150,7400,2970,4620,5125,10175,560,725,8100,1665,20500,17200,24775,2390,880
2020-08-11,30875,3190,5975,13275,7350,2930,4780,5225,10200,570,730,8050,1705,20500,17200,24275,2410,935
2020-08-12,31300,3350,6150,13275,7400,2950,5125,5400,10150,590,725,8050,1720,20400,17000,23525,2390,925
2020-08-13,31500,3330,6050,13500,7375,3010,5075,5400,10250,585,725,8175,1715,20400,17000,23300,2510,910
2020-08-14,32025,3340,6025,13475,7425,3030,5000,5375,10175,585,725,8200,1735,20400,17000,23075,2540,915
2020-08-17,32025,3340,6025,13475,7425,3030,5000,5375,10175,585,725,8200,1735,20400,17000,23075,2540,915
2020-08-18,31800,3520,6150,13400,7400,3050,5050,5375,10200,605,725,8225,1750,20400,17000,23600,2490,930
2020-08-19,31650,3560,6100,13600,7350,3000,5050,5300,10100,605,720,8200,1750,20400,16500,23475,2490,925
2020-08-20,31650,3560,6100,13600,7350,3000,5050,5300,10100,605,720,8200,1750,20400,16500,23475,2490,925
2020-08-21,31650,3560,6100,13600,7350,3000,5050,5300,10100,605,720,8200,1750,20400,16500,23475,2490,925
2020-08-24,31575,3640,6000,13600,7250,3000,5100,5300,10225,730,725,8175,1710,20400,16650,23000,2460,900
2020-08-25,31825,3800,6250,13100,7125,2980,5275,5300,10425,720,755,8200,1710,20400,16650,23550,2470,905
2020-08-26,31700,3740,6350,13500,7050,3020,5325,5350,10350,865,725,8200,1700,20075,16650,23250,2500,895
2020-08-27,33000,3700,6300,13000,7075,2990,5300,5300,10350,950,720,8250,1685,20075,17350,23525,2430,895
2020-08-28,32475,3690,6225,12500,7100,2960,5250,5325,10325,965,720,8250,1660,19975,17500,23425,2380,890
2020-08-31,31375,3510,5950,12850,7125,2860,5100,5100,10225,965,715,8225,1650,19975,17800,23000,2300,840
2020-09-01,32600,3610,6125,12950,7175,2900,5175,5250,10225,975,705,8225,1680,19975,16850,23500,2300,855
2020-09-02,32175,3660,6075,12600,6975,2950,5225,5300,10200,970,700,8150,1670,19975,16850,23350,2330,830
2020-09-03,32500,3580,5975,12650,6950,2900,5350,5175,10225,955,700,8175,1640,19975,16850,23400,2360,820
2020-09-04,31900,3550,5925,12600,6825,2860,5225,5050,10300,985,705,8400,1640,19975,16850,23100,2310,780
2020-09-07,31425,3510,5850,12000,6900,2900,5250,5025,10325,970,710,8375,1640,19975,16850,23150,2290,825
2020-09-08,31675,3520,5975,12000,6925,2860,5250,5125,10325,960,700,8375,1630,19975,16850,23150,2260,815
2020-09-09,31225,3410,5775,12000,6825,2800,5025,4900,10275,910,700,8250,1625,19975,16850,22650,2220,800
2020-09-10,29050,3180,5375,11175,6575,2700,4680,4560,9975,850,690,7975,1520,19975,16800,21400,2080,745
2020-09-11,29525,3250,5475,12300,6800,2810,4870,4630,10250,860,695,8300,1595,19975,16800,22925,2250,730
2020-09-14,30250,3440,5750,12500,6875,2890,5050,4790,10550,920,705,8200,1630,18600,16800,23000,2260,815
2020-09-15,29300,3330,5675,12500,6925,2830,4940,4820,10400,900,700,8100,1580,18200,16800,23875,2170,780
